record_type,relation,source_design_id,source_split,neighbor_design_id,neighbor_split,normalized_euclidean_distance,cross_split,within_predeclared_radius_0_10
nearest_by_relation,new_original,AUGV1-D084,validation,D042,validation,0.79940249355131898,False,False
nearest_by_relation,new_new,AUGV1-D085,validation,AUGV1-D088,test,0.66897728227227804,True,False
nearest_by_relation,new_original,AUGV1-D085,validation,D082,validation,0.59404517527501577,False,False
nearest_by_relation,new_new,AUGV1-D086,validation,AUGV1-D074,train,0.70066457104276914,True,False
nearest_by_relation,new_original,AUGV1-D086,validation,D006,train,0.70699948115649058,True,False
nearest_by_relation,new_new,AUGV1-D087,test,AUGV1-D076,train,0.88067222457613048,True,False
nearest_by_relation,new_original,AUGV1-D087,test,D058,test,0.67381911874077371,False,False
nearest_by_relation,new_new,AUGV1-D088,test,AUGV1-D064,validation,0.60196236676104853,True,False
nearest_by_relation,new_original,AUGV1-D088,test,D052,validation,0.64416767484109549,True,False
nearest_by_relation,new_new,AUGV1-D089,test,AUGV1-D049,train,0.70841952771267347,True,False
nearest_by_relation,new_original,AUGV1-D089,test,D068,train,0.56679150614836293,True,False
