run_id,run_key,design_id,split,overall_minimum,threshold,signed_margin,absolute_margin,recorded_breach,reproduced_breach,polarity_match,exact_threshold
177,D035-R02,D035,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
178,D035-R03,D035,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
179,D035-R04,D035,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
180,D036-R00,D036,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
181,D036-R01,D036,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
182,D036-R02,D036,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
183,D036-R03,D036,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
184,D036-R04,D036,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
185,D037-R00,D037,train,0.10000000000000001,0.80000000000000004,-0.70000000000000007,0.70000000000000007,True,True,True,False
186,D037-R01,D037,train,0.10000000000000001,0.80000000000000004,-0.70000000000000007,0.70000000000000007,True,True,True,False
187,D037-R02,D037,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
188,D037-R03,D037,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
189,D037-R04,D037,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
190,D038-R00,D038,train,0.33333333333333331,0.80000000000000004,-0.46666666666666673,0.46666666666666673,True,True,True,False
191,D038-R01,D038,train,0.26666666666666666,0.80000000000000004,-0.53333333333333344,0.53333333333333344,True,True,True,False
192,D038-R02,D038,train,0.26666666666666666,0.80000000000000004,-0.53333333333333344,0.53333333333333344,True,True,True,False
193,D038-R03,D038,train,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
194,D038-R04,D038,train,0.26666666666666666,0.80000000000000004,-0.53333333333333344,0.53333333333333344,True,True,True,False
195,D039-R00,D039,train,0.1111111111111111,0.80000000000000004,-0.68888888888888888,0.68888888888888888,True,True,True,False
196,D039-R01,D039,train,0.055555555555555552,0.80000000000000004,-0.74444444444444446,0.74444444444444446,True,True,True,False
197,D039-R02,D039,train,0.055555555555555552,0.80000000000000004,-0.74444444444444446,0.74444444444444446,True,True,True,False
198,D039-R03,D039,train,0.1111111111111111,0.80000000000000004,-0.68888888888888888,0.68888888888888888,True,True,True,False
199,D039-R04,D039,train,0.085714285714285715,0.80000000000000004,-0.7142857142857143,0.7142857142857143,True,True,True,False
200,D040-R00,D040,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
201,D040-R01,D040,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
202,D040-R02,D040,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
203,D040-R03,D040,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
204,D040-R04,D040,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
205,D041-R00,D041,train,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
206,D041-R01,D041,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
207,D041-R02,D041,train,0.33333333333333331,0.80000000000000004,-0.46666666666666673,0.46666666666666673,True,True,True,False
208,D041-R03,D041,train,0.16666666666666666,0.80000000000000004,-0.63333333333333341,0.63333333333333341,True,True,True,False
