scope,first_design_id,first_partition,second_design_id,second_partition,normalized_distance
stage_a_pair,SA-D019,development,SA-D022,sealed_holdout,0.44415249325139738
stage_a_pair,SA-D019,development,SA-D023,sealed_holdout,0.54241510807327276
stage_a_pair,SA-D019,development,SA-D024,development,1.7889698383479002
stage_a_pair,SA-D019,development,SA-D025,development,0.964559269594924
stage_a_pair,SA-D019,development,SA-D026,development,1.6366494047902242
stage_a_pair,SA-D019,development,SA-D027,development,0.93355929841666219
stage_a_pair,SA-D019,development,SA-D028,validation,1.2886855711697522
stage_a_pair,SA-D019,development,SA-D029,sealed_holdout,1.3356951447367953
stage_a_pair,SA-D020,validation,SA-D021,validation,0.54451997114548623
stage_a_pair,SA-D020,validation,SA-D022,sealed_holdout,0.1500946005884104
stage_a_pair,SA-D020,validation,SA-D023,sealed_holdout,0.70681873793650718
stage_a_pair,SA-D020,validation,SA-D024,development,2.0373979944153042
