corpus_namespace,global_run_id,run_key,design_id,design_index,realization_id,realization_index,region,partition,sealed,design_record_hash,proposal_status,simulation_authorized,run_record_hash
stage_a_discovery_v1,585,SA-D017-R00,SA-D017,17,R00,0,boundary,development,False,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,NOT_FROZEN,False,0f66607690fde695e28737f41397e07810d5983db3fd3fb482bc4397b5342134
stage_a_discovery_v1,586,SA-D017-R01,SA-D017,17,R01,1,boundary,development,False,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,NOT_FROZEN,False,0610cba93bcfcca18c1be136e39284c9943f18c3fcd6353126fd391b19c6972b
stage_a_discovery_v1,587,SA-D017-R02,SA-D017,17,R02,2,boundary,development,False,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,NOT_FROZEN,False,b07f6b89cae257701bb2ff1d8749ada584a410261b715a4bd5ff254f5d7c0312
stage_a_discovery_v1,588,SA-D017-R03,SA-D017,17,R03,3,boundary,development,False,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,NOT_FROZEN,False,49072e1ef6d0622ba08d74eaa72bb51830d07c5db8f79810b1823e093ff6cbe4
stage_a_discovery_v1,589,SA-D017-R04,SA-D017,17,R04,4,boundary,development,False,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,NOT_FROZEN,False,ee7c3dedca6d6d9cfa657e45c90029d6d3b4e1d636a4a1f4265edc58b81136ac
stage_a_discovery_v1,590,SA-D018-R00,SA-D018,18,R00,0,boundary,development,False,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,NOT_FROZEN,False,ab38d00137a75e291ba53f080842d9994e4b9b3b7a848e55df0ecdd83e08d615
stage_a_discovery_v1,591,SA-D018-R01,SA-D018,18,R01,1,boundary,development,False,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,NOT_FROZEN,False,9d16fe4629b8a0e9a7f0ea38cd7654a0d9e6058fdde7420703af64a0f444c6fa
stage_a_discovery_v1,592,SA-D018-R02,SA-D018,18,R02,2,boundary,development,False,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,NOT_FROZEN,False,7d24d8a47b6404246377037c022bad6b868da182c99e112e7691175c157a5fde
stage_a_discovery_v1,593,SA-D018-R03,SA-D018,18,R03,3,boundary,development,False,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,NOT_FROZEN,False,0fb820ccc9a60ff94a884ebedb138eae092a548b75f727f01f4cd300e5ab8629
stage_a_discovery_v1,594,SA-D018-R04,SA-D018,18,R04,4,boundary,development,False,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,NOT_FROZEN,False,e0915ed0cc254a65f1b3289cb484a020897fb54b46e166c1e07a20e334c70be4
